"year","news","pages","sort","RandID"
"1961","Daily News Record - 1961 June 30","16","13122","11283149845"
"1961","Daily News Record - 1961 July 01","16","13123","585881080610"
"1961","Daily News Record - 1961 July 03","16","13124","951734828363"
"1961","Daily News Record - 1961 July 05","18","13125","319632382262"
"1961","Daily News Record - 1961 July 06","18","13126","986210012278"
"1961","Daily News Record - 1961 July 07","16","13127","296490559415"
"1961","Daily News Record - 1961 July 08","14","13128","689713482143"
"1961","Daily News Record - 1961 July 10","14","13129","465253828283"
"1961","Daily News Record - 1961 July 11","16","13130","829179862775"
"1961","Daily News Record - 1961 July 12","16","13131","176324710626"
"1961","Daily News Record - 1961 July 13","20","13132","784298330745"
"1961","Daily News Record - 1961 July 14","16","13133","622914858231"
"1961","Daily News Record - 1961 July 15","14","13134","411104241594"
"1961","Daily News Record - 1961 July 17","14","13135","849840963435"
"1961","Daily News Record - 1961 July 18","14","13136","879565027017"
"1961","Daily News Record - 1961 July 19","16","13137","550800131896"
"1961","Daily News Record - 1961 July 20","20","13138","652683030854"
"1961","Daily News Record - 1961 July 21","16","13139","602037172253"
"1961","Daily News Record - 1961 July 22","14","13140","293806806485"
"1961","Daily News Record - 1961 July 24","12","13141","865311527025"
"1961","Daily News Record - 1961 July 25","16","13142","801236349642"
"1961","Daily News Record - 1961 July 26","19","13143","822952092831"
"1961","Daily News Record - 1961 July 27","20","13144","800803352226"
"1961","Daily News Record - 1961 July 28","14","13145","810093018069"
"1961","Daily News Record - 1961 July 29","14","13146","69506396945"
"1961","Daily News Record - 1961 July 31","16","13147","102076785204"
"1961","Daily News Record - 1961 August 01","14","13148","423709631967"
"1961","Daily News Record - 1961 August 02","18","13149","657281545211"
"1961","Daily News Record - 1961 August 03","20","13150","156723431843"
"1961","Daily News Record - 1961 August 04","16","13151","556691836021"
"1961","Daily News Record - 1961 August 05","14","13152","641253428115"
"1961","Daily News Record - 1961 August 07","14","13153","911424547530"
"1961","Daily News Record - 1961 August 08","16","13154","876331642928"
"1961","Daily News Record - 1961 August 09","18","13155","408809355367"
"1961","Daily News Record - 1961 August 10","18","13156","125656843923"
"1961","Daily News Record - 1961 August 11","16","13157","557793896612"
"1961","Daily News Record - 1961 August 12","14","13158","100122221396"
"1961","Daily News Record - 1961 August 14","12","13159","787312765623"
"1961","Daily News Record - 1961 August 15","16","13160","632673631499"
"1961","Daily News Record - 1961 August 16","34","13161","699365029436"
"1961","Daily News Record - 1961 August 17","20","13162","495122514764"
"1961","Daily News Record - 1961 August 18","18","13163","225051462466"
"1961","Daily News Record - 1961 August 19","16","13164","946360749845"
"1961","Daily News Record - 1961 August 21","14","13165","60519141880"
"1961","Daily News Record - 1961 August 22","16","13166","77441700671"
"1961","Daily News Record - 1961 August 23","20","13167","345061490575"
"1961","Daily News Record - 1961 August 24","22","13168","844679123657"
"1961","Daily News Record - 1961 August 25","18","13169","565366649"
"1961","Daily News Record - 1961 August 26","16","13170","436374982712"
"1961","Daily News Record - 1961 August 28","14","13171","785747439125"
"1961","Daily News Record - 1961 August 29","16","13172","896745136055"
"1961","Daily News Record - 1961 August 30","18","13173","876468921976"
"1961","Daily News Record - 1961 August 31","24","13174","592419872754"
"1961","Daily News Record - 1961 September 01","16","13175","501774824649"
"1961","Daily News Record - 1961 September 02","16","13176","528530950979"
"1961","Daily News Record - 1961 September 05","16","13177","821710279916"
"1961","Daily News Record - 1961 September 06","16","13178","844459686701"
"1961","Daily News Record - 1961 September 07","20","13179","195586291340"
"1961","Daily News Record - 1961 September 08","16","13180","201038323429"
"1961","Daily News Record - 1961 September 09","16","13181","266989465554"
"1961","Daily News Record - 1961 September 11","14","13182","634220943144"
"1961","Daily News Record - 1961 September 12","16","13183","783869021377"
"1961","Daily News Record - 1961 September 13","18","13184","733447118267"
"1961","Daily News Record - 1961 September 14","22","13185","818528660964"
"1961","Daily News Record - 1961 September 15","16","13186","410212916862"
"1961","Daily News Record - 1961 September 16","14","13187","483964810353"
"1961","Daily News Record - 1961 September 18","16","13188","773466320779"
"1961","Daily News Record - 1961 September 19","16","13189","431015350251"
"1961","Daily News Record - 1961 September 20","18","13190","708709161617"
"1961","Daily News Record - 1961 September 21","24","13191","317128325379"
"1961","Daily News Record - 1961 September 22","18","13192","168091884696"
"1961","Daily News Record - 1961 September 23","14","13193","164767304487"
"1961","Daily News Record - 1961 September 25","14","13194","185932379211"
"1961","Daily News Record - 1961 September 26","14","13195","568703125942"
"1961","Daily News Record - 1961 September 27","22","13196","520202325890"
"1961","Daily News Record - 1961 September 28","30","13197","200489767889"
"1961","Daily News Record - 1961 September 29","20","13198","133455574237"
"1961","Daily News Record - 1961 September 30","14","13199","19699090103"
"1961","Daily News Record - 1961 October 02","14","13200","529899532429"
"1961","Daily News Record - 1961 October 03","16","13201","200034269052"
"1961","Daily News Record - 1961 October 04","22","13202","87933996496"
"1961","Daily News Record - 1961 October 05","22","13203","569918951105"
"1961","Daily News Record - 1961 October 06","16","13204","814228824215"
"1961","Daily News Record - 1961 October 07","14","13205","547857543575"
"1961","Daily News Record - 1961 October 09","16","13206","506633935526"
"1961","Daily News Record - 1961 October 10","16","13207","209695711968"
